"","lon","lat","SpeciesName","Status"
"382",-4.079485,40.987118,"Acacia dealbata","Invasive"
"383",-7.088935,43.439934,"Acacia dealbata","Invasive"
"384",-3.630384,40.442597,"Acacia dealbata","Invasive"
"385",0.957687,42.068995,"Acacia dealbata","Invasive"
"386",-3.4232,36.885747,"Acacia dealbata","Invasive"
"387",-5.898549,40.110565,"Acacia dealbata","Invasive"
"388",-8.604731,42.272463,"Acacia dealbata","Invasive"
"389",-5.65209,43.539714,"Acacia dealbata","Invasive"
"390",1.869328,41.457825,"Acacia dealbata","Invasive"
"391",-3.314722,43.131944,"Acacia dealbata","Invasive"
"392",2.257346,41.492798,"Acacia dealbata","Invasive"
"393",-3.763622,40.666972,"Acacia dealbata","Invasive"
"394",-5.113121,40.20173,"Acacia dealbata","Invasive"
"395",-5.773426,43.430386,"Acacia dealbata","Invasive"
"396",-3.885993,40.499722,"Acacia dealbata","Invasive"
"397",-5.657252,40.962345,"Acacia dealbata","Invasive"
"398",-5.77342,43.430364,"Acacia dealbata","Invasive"
"399",-4.847919,43.41787,"Acacia dealbata","Invasive"
"400",-3.074557,43.311528,"Acacia dealbata","Invasive"
"401",-3.901377,40.560704,"Acacia dealbata","Invasive"
"402",-3.920493,40.399496,"Acacia dealbata","Invasive"
"403",-5.667435,40.979663,"Acacia dealbata","Invasive"
"404",2.151228,41.41238,"Acacia dealbata","Invasive"
"405",2.669084,41.859024,"Acacia dealbata","Invasive"
"406",-3.943156,40.534564,"Acacia dealbata","Invasive"
"407",2.092266,41.39552,"Acacia dealbata","Invasive"
"408",-8.786865,42.461197,"Acacia dealbata","Invasive"
"409",-7.885847,42.334156,"Acacia dealbata","Invasive"
"410",-5.746485,37.868055,"Acacia dealbata","Invasive"
"411",-1.609154,42.812667,"Acacia dealbata","Invasive"
"412",1.9925,42.273333,"Acacia dealbata","Invasive"
"413",-2.881674,43.240625,"Acacia dealbata","Invasive"
"414",-6.868198,43.04479,"Acacia dealbata","Invasive"
"415",-8.625496,42.61137,"Acacia dealbata","Invasive"
"416",1.110547,41.22326,"Acacia dealbata","Invasive"
"417",-3.902847,40.553046,"Acacia dealbata","Invasive"
"418",-2.03458,42.64938,"Acacia dealbata","Invasive"
"419",-3.611565,40.392181,"Acacia dealbata","Invasive"
"420",-3.870055,40.327334,"Acacia dealbata","Invasive"
"421",2.083925,41.463223,"Acacia dealbata","Invasive"
"422",-7.050417,42.410733,"Acacia dealbata","Invasive"
"423",-2.983957,43.269398,"Acacia dealbata","Invasive"
"424",-6.915346,42.659553,"Acacia dealbata","Invasive"
"425",2.099537,41.419331,"Acacia dealbata","Invasive"
"426",2.174514,41.462076,"Acacia dealbata","Invasive"
"427",-7.486304,42.385585,"Acacia dealbata","Invasive"
"428",-7.073107,37.217807,"Acacia dealbata","Invasive"
"429",2.253648,41.525695,"Acacia dealbata","Invasive"
"430",3.177414,41.895795,"Acacia dealbata","Invasive"
"431",-3.683977,40.391843,"Acacia dealbata","Invasive"
"432",-6.500605,43.523845,"Acacia dealbata","Invasive"
"433",-2.902368,43.103949,"Acacia dealbata","Invasive"
"434",-8.647855,42.209305,"Acacia dealbata","Invasive"
"435",3.065673,41.840874,"Acacia dealbata","Invasive"
"436",-8.619258,42.452225,"Acacia dealbata","Invasive"
"437",-8.753056,41.977222,"Acacia dealbata","Invasive"
"438",-3.873051,40.353173,"Acacia dealbata","Invasive"
"439",-1.90641,43.318731,"Acacia dealbata","Invasive"
"440",3.064607,41.863313,"Acacia dealbata","Invasive"
"441",-7.707846,42.517278,"Acacia dealbata","Invasive"
"442",-3.874137,40.353258,"Acacia dealbata","Invasive"
"443",2.099339,41.419664,"Acacia dealbata","Invasive"
"444",-5.51408,36.078437,"Acacia dealbata","Invasive"
"445",-8.105357,41.877537,"Acacia dealbata","Invasive"
"446",-3.677463,40.410249,"Acacia dealbata","Invasive"
"447",-3.67869,40.40963,"Acacia dealbata","Invasive"
"448",-5.892489,40.349691,"Acacia dealbata","Invasive"
